Age,Gender,MaritalStatus,IncomeLevel,LastLoginDate,LoginFrequency,ServiceUsage,TransactionDate,Year,Month,AmountSpent,ProductCategory,InteractionType,ResolutionStatus,DaysSinceLastInteraction,ChurnStatus
62,M,Single,Low,2023-10-21,34,Mobile App,2022-03-27,2022,3,416.5,Electronics,Inquiry,Resolved,274,0
65,M,Married,Low,2023-12-05,5,Website,2022-08-08,2022,8,54.96,Clothing,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-07-25,2022,7,197.5,Electronics,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-01-25,2022,1,101.31,Furniture,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-07-24,2022,7,397.37,Clothing,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-01-09,2022,1,285.21,Electronics,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-09-16,2022,9,311.34,Electronics,Inquiry,Resolved,288,1
65,M,Married,Low,2023-12-05,5,Website,2022-11-19,2022,11,199.73,Groceries,Inquiry,Resolved,288,1
18,M,Single,Low,2023-11-15,3,Website,2022-10-08,2022,10,241.06,Books,Inquiry,Resolved,128,0
18,M,Single,Low,2023-11-15,3,Website,2022-08-15,2022,8,51.07,Clothing,Inquiry,Resolved,128,0
18,M,Single,Low,2023-11-15,3,Website,2022-09-17,2022,9,419.95,Furniture,Inquiry,Resolved,128,0
18,M,Single,Low,2023-11-15,3,Website,2022-07-09,2022,7,287.72,Groceries,Inquiry,Resolved,128,0
18,M,Single,Low,2023-11-15,3,Website,2022-03-02,2022,3,299.86,Groceries,Inquiry,Resolved,128,0
18,M,Single,Low,2023-11-15,3,Website,2022-02-11,2022,2,403.32,Furniture,Inquiry,Resolved,128,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-07-31,2022,7,125.64,Electronics,Inquiry,Resolved,42,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-07-31,2022,7,125.64,Electronics,Inquiry,Unresolved,180,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-01,2022,12,123.59,Groceries,Inquiry,Resolved,42,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-01,2022,12,123.59,Groceries,Inquiry,Unresolved,180,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-22,2022,12,241.45,Electronics,Inquiry,Resolved,42,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-22,2022,12,241.45,Electronics,Inquiry,Unresolved,180,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-27,2022,12,44.22,Clothing,Inquiry,Resolved,42,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-12-27,2022,12,44.22,Clothing,Inquiry,Unresolved,180,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-05-22,2022,5,382.39,Furniture,Inquiry,Resolved,42,0
21,M,Widowed,Low,2023-08-25,2,Website,2022-05-22,2022,5,382.39,Furniture,Inquiry,Unresolved,180,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-02-21,2022,2,475.69,Groceries,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-08-12,2022,8,178.91,Furniture,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-12-02,2022,12,373.51,Groceries,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-10-21,2022,10,155.76,Electronics,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-07-04,2022,7,308.8,Electronics,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-08-31,2022,8,219.98,Furniture,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-12-21,2022,12,218.98,Electronics,NoInteraction,NoInteraction,-1,0
21,M,Divorced,Medium,2023-10-27,41,Website,2022-05-25,2022,5,69.86,Groceries,NoInteraction,NoInteraction,-1,0
57,F,Divorced,Medium,2023-09-17,2,Website,2022-08-11,2022,8,365.57,Books,Feedback,Resolved,239,0
57,F,Divorced,Medium,2023-09-17,2,Website,2022-10-29,2022,10,448.86,Clothing,Feedback,Resolved,239,0
